Comb_id	GeneA	GeneB
OLI384	COL4A5	COL4A4
OLI385	COL4A5	COL4A4
OLI386	COL4A5	COL4A4
OLI387	COL4A5	COL4A4
OLI388	COL4A5	COL4A4
OLI391	FGFR1	ANOS1
OLI393	SPRY4	TACR3
OLI394	TAC3	HS6ST1
OLI396	PROK2	PROKR2
OLI397	FGF8	FGFR1
OLI398	MITF	TYR
OLI399	MITF	TYR
OLI400	NR5A1	ZFPM2
OLI404	TARDBP	SQSTM1
OLI405	MED25	COQ8A
OLI407	SHH	DISP1
OLI409	FGF8	FGFR1
OLI410	FGF8	FGFR1
OLI412	NLRP3	MEFV
OLI413	TNFRSF1A	MEFV
OLI414	KRT5	KRT14
OLI415	DES	CAPN3
OLI416	MYH7	TNNT2
OLI418	BBS10	BBS9
OLI419	FZD4	LRP5
OLI426	FGF13	GAP43
OLI428	GNRHR	GLI3
OLI440	SOD1	SQSTM1
OLI443	COL17A1	EXPH5
OLI445	KCNQ1	SCN5A
OLI452	CD40LG	XIAP
OLI453	TSPAN12	FZD4
OLI454	USH1G	PCDH15
OLI458	NEK1	DYNC2H1
OLI465	SLC26A4	DUOX2
OLI466	DUOXA2	TG
OLI467	DUOX2	TG
OLI471	TSHR	TPO
OLI473	SLC26A4	DUOX2
OLI478	HOXA1	TSC1
OLI480	CACNA1C	TSC2
OLI482	CACNA1C	TSC1
OLI489	TSC1	GRID2
OLI493	HOXA1	CACNA1C
OLI496	UBE3A	TSC2
OLI497	ATP2B2	CDH23
OLI498	PROKR2	ANOS1
OLI500	LDLR	PCSK9
OLI502	FOXI1	SLC26A4
OLI504	COL4A5	LAMA5
OLI505	SCRIB	CELSR1
OLI506	SCRIB	CELSR1
OLI507	SCRIB	CELSR1
OLI508	DVL3	CELSR1
OLI509	PTK7	SCRIB
OLI510	SCRIB	CELSR1
OLI513	CDK4	MYC
OLI514	CD46	C3
OLI515	TCIRG1	CLCN7
OLI516	COL4A5	COL4A3
OLI517	KRT5	KRT14
OLI518	TSHR	DUOX2
OLI524	PRF1	UNC13D
OLI526	PRF1	UNC13D
OLI527	PRF1	UNC13D
OLI531	PRF1	UNC13D
OLI532	PRF1	UNC13D
OLI537	PRF1	STXBP2
OLI538	PRF1	STXBP2
OLI540	STXBP2	UNC13D
OLI545	STXBP2	STX11
OLI547	JUP	DSP
OLI548	JUP	DSP
OLI550	KCNQ1	KCNH2
OLI559	GPHN	MAST4
OLI560	CACNA1G	KCNQ3
OLI562	DUOXA2	DUOX2
OLI563	DUOX2	TG
OLI564	DUOX2	TG
OLI567	DUOX2	TG
OLI607	DNAI1	DNAH6
OLI610	DNAH6	DNAH5
OLI639	DACH1	BMP4
OLI645	CACNA1C	SCN5A
OLI667	NR5A1	STAR
OLI669	NR5A1	ZFPM2
OLI673	IL36RN	TNFAIP3
OLI680	LRP2	FAT1
OLI684	B9D1	CELSR1
OLI685	IFT172	PRICKLE1
OLI688	ITGB3	TUBB1
OLI694	FOLR3	ALDH1L1
OLI708	SFRP5	FAT4
OLI709	GLDC	MTHFR
OLI755	TP53	RFC1
OLI767	PITX2	CYP1B1
OLI779	FGF8	FGFR1
OLI794	FBN2	COL6A3
OLI795	FBN2	COL6A3
OLI817	LDLR	PCSK9
OLI818	LDLR	PCSK9
OLI820	LDLR	PCSK9
OLI821	LDLR	PCSK9
OLI831	GFI1	MYO6
OLI834	PROK2	PROKR2
OLI838	MAP4K4	ENG
OLI839	TIMP3	RASA1
OLI841	MYOD1	MEOX1
OLI842	RIPPLY1	MYOD1
OLI859	MTOR	PROKR2
OLI862	PROKR2	ROBO3
OLI870	EFNA5	PROKR2
OLI890	LHB	PROKR2
OLI891	SEMA7A	LHB
OLI892	PROKR2	ROBO3
OLI895	KISS1R	PROKR2
OLI911	LHB	GHR
OLI916	COL4A5	LAMA5
